,Month,Year,Category,ProvidedValue,Country
10990,9,2016,Hydro_Marine,,DE
10991,9,2016,Nuclear,6833.7,DE
10992,9,2016,Other_renewable,108.42,DE
10993,9,2016,Wind_offshore,711.34,DE
10994,9,2016,Wind_onshore,3570.17,DE
10995,9,2016,Non_identified_net_gen,,DE
10996,9,2016,Imports,1454.63,DE
10997,9,2016,Exports,6892.53,DE
10998,9,2016,Biogas,,DE
10999,9,2016,Fossil_Mixed_fuels,403.93,DE
11000,9,2016,Fossil_Other,,DE
11001,9,2016,Hydro_Mixed_pumped_storage_non_renewable,11.66,DE
11002,9,2016,Hydro_Mixed_pumped_storage_renewable,,DE
11003,9,2016,Other_non_renewable,,DE
11004,9,2016,Solar_PV,3832.89,DE
11005,9,2016,Solar_Thermal,,DE
11006,9,2016,Waste_non_renewable,422.54,DE
11007,9,2016,Waste_renewable,422.54,DE
11008,9,2016,Consumption_of_pumps,543.11,DE
11009,9,2016,Transmission losses,596.68,DE
11010,10,2016,Biomass,3380.8,DE
11011,10,2016,Fossil_Brown_coal_Lignite,12452.07,DE
11012,10,2016,Fossil_Coal_derived_gas,,DE
11013,10,2016,Fossil_Gas,8479,DE
11014,10,2016,Fossil_Hard_coal,9128.64,DE
11015,10,2016,Fossil_Oil,352.03,DE
11016,10,2016,Fossil_Oil_shale,,DE
11017,10,2016,Fossil_Peat,,DE
11018,10,2016,Geothermal,16.49,DE
11019,10,2016,Hydro_Pure_pumped_Storage,486.4,DE
11020,10,2016,Hydro_RunOfRiver_and_poundage,1052.28,DE
11021,10,2016,Hydro_Pure_storage,35.65,DE
11022,10,2016,Hydro_Marine,,DE
11023,10,2016,Nuclear,7800.59,DE
11024,10,2016,Other_renewable,123.45,DE
11025,10,2016,Wind_offshore,1304.63,DE
11026,10,2016,Wind_onshore,4393.45,DE
11027,10,2016,Non_identified_net_gen,,DE
11028,10,2016,Imports,1594.24,DE
11029,10,2016,Exports,7249.98,DE
11030,10,2016,Biogas,,DE
11031,10,2016,Fossil_Mixed_fuels,369.52,DE
11032,10,2016,Fossil_Other,,DE
11033,10,2016,Hydro_Mixed_pumped_storage_non_renewable,10.84,DE
11034,10,2016,Hydro_Mixed_pumped_storage_renewable,,DE
11035,10,2016,Other_non_renewable,,DE
11036,10,2016,Solar_PV,1681.02,DE
11037,10,2016,Solar_Thermal,,DE
11038,10,2016,Waste_non_renewable,435.67,DE
11039,10,2016,Waste_renewable,435.67,DE
11040,10,2016,Consumption_of_pumps,659.9,DE
11041,10,2016,Transmission losses,791.21,DE
11042,11,2016,Biomass,3454,DE
11043,11,2016,Fossil_Brown_coal_Lignite,12316.19,DE
11044,11,2016,Fossil_Coal_derived_gas,,DE
11045,11,2016,Fossil_Gas,9312.43,DE
11046,11,2016,Fossil_Hard_coal,9595.28,DE
11047,11,2016,Fossil_Oil,349.59,DE
11048,11,2016,Fossil_Oil_shale,,DE
11049,11,2016,Fossil_Peat,,DE
11050,11,2016,Geothermal,15.68,DE
11051,11,2016,Hydro_Pure_pumped_Storage,516.53,DE
11052,11,2016,Hydro_RunOfRiver_and_poundage,1300.06,DE
11053,11,2016,Hydro_Pure_storage,34.31,DE
11054,11,2016,Hydro_Marine,,DE
11055,11,2016,Nuclear,7393.92,DE
11056,11,2016,Other_renewable,121.47,DE
11057,11,2016,Wind_offshore,1316.44,DE
11058,11,2016,Wind_onshore,6700.91,DE
11059,11,2016,Non_identified_net_gen,,DE
11060,11,2016,Imports,1837.55,DE
11061,11,2016,Exports,7533.53,DE
11062,11,2016,Biogas,,DE
11063,11,2016,Fossil_Mixed_fuels,373.39,DE
11064,11,2016,Fossil_Other,,DE
